URL,Current Canonical,Correct Canonical,Action
https://hammondproperties.com.au/properties/blue-bird,https://hammondproperties.com.au/,https://hammondproperties.com.au/properties/blue-bird,UPDATE CANONICAL TAG
https://hammondproperties.com.au/gabo-island,https://hammondproperties.com.au/,https://hammondproperties.com.au/gabo-island,UPDATE CANONICAL TAG
https://hammondproperties.com.au/properties,https://hammondproperties.com.au/,https://hammondproperties.com.au/properties,UPDATE CANONICAL TAG
https://hammondproperties.com.au/properties/blue-waters,https://hammondproperties.com.au/,https://hammondproperties.com.au/properties/blue-waters,UPDATE CANONICAL TAG
https://hammondproperties.com.au/luxury-waterfront-mallacoota,https://hammondproperties.com.au/,https://hammondproperties.com.au/luxury-waterfront-mallacoota,UPDATE CANONICAL TAG
https://hammondproperties.com.au/discover-mallacoota/croajingolong-national-park,https://hammondproperties.com.au/,https://hammondproperties.com.au/discover-mallacoota/croajingolong-national-park,UPDATE CANONICAL TAG
https://hammondproperties.com.au/discover-mallacoota,https://hammondproperties.com.au/,https://hammondproperties.com.au/discover-mallacoota,UPDATE CANONICAL TAG
https://hammondproperties.com.au/news/,https://hammondproperties.com.au/,https://hammondproperties.com.au/news/,UPDATE CANONICAL TAG
https://hammondproperties.com.au/about,https://hammondproperties.com.au/,https://hammondproperties.com.au/about,UPDATE CANONICAL TAG
https://hammondproperties.com.au/availability/,https://hammondproperties.com.au/,https://hammondproperties.com.au/availability/,UPDATE CANONICAL TAG
https://hammondproperties.com.au/mallacoota-vs-lakes-entrance,https://hammondproperties.com.au/,https://hammondproperties.com.au/mallacoota-vs-lakes-entrance,UPDATE CANONICAL TAG
https://hammondproperties.com.au/properties/four-on-stingray-point,https://hammondproperties.com.au/,https://hammondproperties.com.au/properties/four-on-stingray-point,UPDATE CANONICAL TAG
https://hammondproperties.com.au/properties/7-allan-drive,https://hammondproperties.com.au/,https://hammondproperties.com.au/properties/7-allan-drive,UPDATE CANONICAL TAG
https://hammondproperties.com.au/discover-mallacoota/boating-charter-adventures,https://hammondproperties.com.au/,https://hammondproperties.com.au/discover-mallacoota/boating-charter-adventures,UPDATE CANONICAL TAG
https://hammondproperties.com.au/accommodation/,https://hammondproperties.com.au/,https://hammondproperties.com.au/accommodation/,UPDATE CANONICAL TAG
https://hammondproperties.com.au/testimonials,https://hammondproperties.com.au/,https://hammondproperties.com.au/testimonials,UPDATE CANONICAL TAG
https://hammondproperties.com.au/properties/gabo-views,https://hammondproperties.com.au/,https://hammondproperties.com.au/properties/gabo-views,UPDATE CANONICAL TAG
https://hammondproperties.com.au/amenities/,https://hammondproperties.com.au/,https://hammondproperties.com.au/amenities/,UPDATE CANONICAL TAG
https://hammondproperties.com.au/location/,https://hammondproperties.com.au/,https://hammondproperties.com.au/location/,UPDATE CANONICAL TAG
https://hammondproperties.com.au/things-to-do-mallacoota,https://hammondproperties.com.au/,https://hammondproperties.com.au/things-to-do-mallacoota,UPDATE CANONICAL TAG
https://hammondproperties.com.au/pet-friendly-mallacoota,https://hammondproperties.com.au/,https://hammondproperties.com.au/pet-friendly-mallacoota,UPDATE CANONICAL TAG
https://hammondproperties.com.au,https://hammondproperties.com.au/,https://hammondproperties.com.au,UPDATE CANONICAL TAG
https://hammondproperties.com.au/mallacoota-holiday-rentals,https://hammondproperties.com.au/,https://hammondproperties.com.au/mallacoota-holiday-rentals,UPDATE CANONICAL TAG
https://hammondproperties.com.au/properties/high-tide-apartment,https://hammondproperties.com.au/,https://hammondproperties.com.au/properties/high-tide-apartment,UPDATE CANONICAL TAG
https://hammondproperties.com.au/booking/,https://hammondproperties.com.au/,https://hammondproperties.com.au/booking/,UPDATE CANONICAL TAG
https://hammondproperties.com.au/discover-mallacoota/gabo-island,https://hammondproperties.com.au/,https://hammondproperties.com.au/discover-mallacoota/gabo-island,UPDATE CANONICAL TAG
https://hammondproperties.com.au/gallery/,https://hammondproperties.com.au/,https://hammondproperties.com.au/gallery/,UPDATE CANONICAL TAG
https://hammondproperties.com.au/properties/vista-views,https://hammondproperties.com.au/,https://hammondproperties.com.au/properties/vista-views,UPDATE CANONICAL TAG
https://hammondproperties.com.au/best-time-to-visit-mallacoota,https://hammondproperties.com.au/,https://hammondproperties.com.au/best-time-to-visit-mallacoota,UPDATE CANONICAL TAG
https://hammondproperties.com.au/properties/pheeney-place,https://hammondproperties.com.au/,https://hammondproperties.com.au/properties/pheeney-place,UPDATE CANONICAL TAG
